,lenght,type_of_gene
ENSG00000275014,,unknown
ENSG00000140497,29635.0,protein-coding
ENSG00000260015,,unknown
ENSG00000238704,,unknown
ENSG00000267535,,intergenic
ENSG00000254309,,unknown
ENSG00000267737,,unknown
ENSG00000265313,,unknown
ENSG00000165501,15975.0,protein-coding
ENSG00000223931,,unknown
ENSG00000134533,240892.0,protein-coding
ENSG00000231447,,unknown
ENSG00000254450,,unknown
ENSG00000236959,,unknown
ENSG00000206921,,unknown
ENSG00000111711,16627.0,protein-coding
ENSG00000233912,,unknown
ENSG00000148737,217428.0,protein-coding
ENSG00000186895,9055.0,protein-coding
ENSG00000254141,,unknown
ENSG00000228787,,antisense
ENSG00000235312,,unknown
ENSG00000198944,3210.0,protein-coding
ENSG00000279582,,unknown
ENSG00000249551,,unknown
ENSG00000224388,,unknown
ENSG00000162614,55382.0,protein-coding
ENSG00000223912,,unknown
ENSG00000228606,,ncRNA
ENSG00000267189,,unknown
ENSG00000235328,,unknown
ENSG00000139645,20584.0,protein-coding
ENSG00000258283,,unknown
ENSG00000251731,,unknown
ENSG00000232153,,unknown
ENSG00000135525,208538.0,protein-coding
ENSG00000277705,,unknown
ENSG00000135083,96290.0,protein-coding
ENSG00000258511,,unknown
ENSG00000229423,,unknown
ENSG00000141446,71603.0,protein-coding
ENSG00000276592,,unknown
ENSG00000278499,1025.0,protein-coding
ENSG00000226485,,unknown
ENSG00000270049,,ncRNA
ENSG00000256004,,unknown
ENSG00000235786,,unknown
ENSG00000274611,10882.0,protein-coding
ENSG00000108622,18040.0,protein-coding
ENSG00000225542,,antisense
ENSG00000001629,155150.0,protein-coding
ENSG00000232170,,intergenic
ENSG00000214309,1804.0,protein-coding
ENSG00000225233,,unknown
ENSG00000202231,,unknown
ENSG00000182117,1464.0,protein-coding
ENSG00000267024,,unknown
ENSG00000197046,18568.0,protein-coding
ENSG00000226579,,unknown
ENSG00000227702,,unknown
ENSG00000201933,,unknown
ENSG00000222864,,unknown
ENSG00000234455,,unknown
ENSG00000270646,,unknown
ENSG00000186889,11673.0,protein-coding
ENSG00000278547,,unknown
ENSG00000202225,,unknown
ENSG00000152217,388337.0,protein-coding
ENSG00000182107,4470.0,protein-coding
ENSG00000145911,12644.0,protein-coding
ENSG00000221736,,unknown
ENSG00000198885,5186.0,protein-coding
ENSG00000189223,,antisense
ENSG00000244571,,unknown
ENSG00000130939,148407.0,protein-coding
ENSG00000199053,,microRNA
ENSG00000219073,21621.0,protein-coding
ENSG00000214288,,unknown
ENSG00000271457,,unknown
ENSG00000223572,6336.0,protein-coding
ENSG00000212620,,unknown
ENSG00000258626,,unknown
ENSG00000250438,,unknown
ENSG00000265556,,unknown
ENSG00000109133,25452.0,protein-coding
ENSG00000223134,,unknown
ENSG00000082684,119523.0,protein-coding
ENSG00000264937,,unknown
ENSG00000215893,,unknown
ENSG00000252145,,unknown
ENSG00000274583,,ncRNA
ENSG00000244565,,unknown
ENSG00000225350,,unknown
ENSG00000276602,,unknown
ENSG00000199043,,microRNA
ENSG00000091138,37758.0,protein-coding
ENSG00000201464,,unknown
ENSG00000260071,,unknown
ENSG00000226028,,unknown
ENSG00000234946,,unknown
ENSG00000273917,,unknown
ENSG00000197576,2292.0,protein-coding
ENSG00000267688,,unknown
ENSG00000241258,39964.0,protein-coding
ENSG00000108001,128558.0,protein-coding
ENSG00000223495,,unknown
ENSG00000185610,36427.0,protein-coding
ENSG00000249614,,unknown
ENSG00000156860,12383.0,protein-coding
ENSG00000255463,,unknown
ENSG00000224602,,unknown
ENSG00000227061,,unknown
ENSG00000277984,,unknown
ENSG00000273828,,unknown
ENSG00000270510,,unknown
ENSG00000258481,,unknown
ENSG00000144736,112637.0,protein-coding
ENSG00000196981,3719.0,protein-coding
ENSG00000141179,91851.0,protein-coding
ENSG00000263763,,microRNA
ENSG00000103042,19995.0,protein-coding
ENSG00000249923,,ncRNA
ENSG00000182634,5312.0,protein-coding
ENSG00000254998,,unknown
ENSG00000272970,,unknown
ENSG00000224177,,intergenic
ENSG00000232388,2216.0,protein-coding
ENSG00000277875,,unknown
ENSG00000275550,,unknown
ENSG00000224014,,unknown
ENSG00000258660,,unknown
ENSG00000207042,,unknown
ENSG00000143653,44090.0,protein-coding
ENSG00000248567,,unknown
ENSG00000115616,91611.0,protein-coding
ENSG00000032219,75502.0,protein-coding
ENSG00000238959,,unknown
ENSG00000211696,,unknown
ENSG00000280526,,unknown
ENSG00000207615,,microRNA
ENSG00000243274,,unknown
ENSG00000216085,,unknown
ENSG00000046651,34608.0,protein-coding
ENSG00000187170,1331.0,protein-coding
ENSG00000261221,11864.0,protein-coding
ENSG00000188176,24320.0,protein-coding
ENSG00000206614,,unknown
ENSG00000252676,,unknown
ENSG00000263592,,unknown
ENSG00000103723,50633.0,protein-coding
ENSG00000118514,32732.0,protein-coding
ENSG00000251728,,unknown
ENSG00000276304,,unknown
ENSG00000250804,,unknown
ENSG00000211731,,unknown
ENSG00000186440,9974.0,protein-coding
ENSG00000249580,,unknown
ENSG00000271027,,unknown
ENSG00000207153,,unknown
ENSG00000251742,,unknown
ENSG00000275567,,unknown
ENSG00000266401,,unknown
ENSG00000212204,,unknown
ENSG00000137692,30139.0,protein-coding
ENSG00000225662,,unknown
ENSG00000255394,1967.0,protein-coding
ENSG00000228692,,unknown
ENSG00000206662,,unknown
ENSG00000266708,,unknown
ENSG00000255424,,unknown
ENSG00000264267,,unknown
ENSG00000216179,,microRNA
ENSG00000105676,26736.0,protein-coding
ENSG00000225723,,unknown
ENSG00000132639,88588.0,protein-coding
ENSG00000264850,,microRNA
ENSG00000254082,,unknown
ENSG00000254813,,ncRNA
ENSG00000131473,63634.0,protein-coding
ENSG00000183130,,unknown
ENSG00000243243,,unknown
ENSG00000170920,938.0,protein-coding
ENSG00000280197,536.0,protein-coding
ENSG00000235687,,unknown
ENSG00000110917,14995.0,protein-coding
ENSG00000196208,160447.0,protein-coding
ENSG00000207609,,microRNA
ENSG00000249092,,unknown
ENSG00000277861,,unknown
ENSG00000126733,684146.0,protein-coding
ENSG00000274060,,microRNA
ENSG00000278754,,unknown
ENSG00000255075,,unknown
ENSG00000249183,,unknown
ENSG00000266887,,microRNA
ENSG00000170049,7944.0,protein-coding
ENSG00000214286,,unknown
ENSG00000279375,,unknown
ENSG00000233365,,ncRNA
ENSG00000140983,6088.0,protein-coding
ENSG00000149218,42835.0,protein-coding
ENSG00000145681,83808.0,protein-coding
ENSG00000235142,,intergenic
ENSG00000178297,66001.0,protein-coding
ENSG00000264661,,microRNA
ENSG00000278343,,unknown
ENSG00000096384,7722.0,protein-coding
ENSG00000279216,,unknown
ENSG00000226479,2130.0,protein-coding
ENSG00000165995,402880.0,protein-coding
ENSG00000211912,,unknown
ENSG00000143032,5698.0,protein-coding
ENSG00000249662,,intergenic
ENSG00000266897,,unknown
ENSG00000277748,,unknown
ENSG00000139433,29545.0,protein-coding
ENSG00000116251,24369.0,protein-coding
ENSG00000157502,40651.0,protein-coding
ENSG00000200378,,unknown
ENSG00000265541,,unknown
ENSG00000227336,,unknown
ENSG00000071203,14652.0,protein-coding
ENSG00000226026,,ncRNA
ENSG00000229419,,unknown
ENSG00000154370,13167.0,protein-coding
ENSG00000028839,38262.0,protein-coding
ENSG00000200890,,unknown
ENSG00000265648,,unknown
ENSG00000261302,,unknown
ENSG00000253031,,unknown
ENSG00000275372,,unknown
ENSG00000224463,,unknown
ENSG00000274984,,unknown
ENSG00000144401,45297.0,protein-coding
ENSG00000227813,,unknown
ENSG00000232842,,unknown
ENSG00000236621,,unknown
ENSG00000242983,,unknown
ENSG00000232994,,unknown
ENSG00000233910,,unknown
ENSG00000258580,,unknown
ENSG00000215966,,microRNA
ENSG00000224810,,unknown
ENSG00000205076,2521.0,protein-coding
ENSG00000164074,74621.0,protein-coding
ENSG00000257556,,unknown
ENSG00000228728,,unknown
ENSG00000099866,16166.0,protein-coding
ENSG00000234268,,unknown
ENSG00000147465,7616.0,protein-coding
ENSG00000207947,,microRNA
ENSG00000258072,,unknown
ENSG00000231401,,unknown
ENSG00000206871,,unknown
ENSG00000275004,24733.0,protein-coding
ENSG00000114423,214091.0,protein-coding
ENSG00000171695,979.0,protein-coding
ENSG00000235445,,unknown
ENSGR0000226179,,unknown
ENSG00000198055,39697.0,protein-coding
ENSG00000266050,,unknown
ENSG00000255188,,unknown
ENSG00000107736,419013.0,protein-coding
ENSG00000228807,,unknown
ENSG00000256287,,unknown
ENSG00000281462,,unknown
ENSG00000207244,,unknown
ENSG00000199508,,unknown
ENSG00000234296,,unknown
ENSG00000269802,,unknown
ENSG00000207957,,microRNA
ENSG00000277383,,unknown
ENSG00000229782,,unknown
ENSG00000215149,,unknown
ENSG00000269210,,ncRNA
ENSG00000121446,151407.0,protein-coding
ENSG00000160868,27305.0,protein-coding
ENSG00000201216,,unknown
ENSG00000223845,,unknown
ENSG00000211869,,unknown
ENSG00000272746,,unknown
ENSG00000228817,,unknown
ENSG00000266706,,unknown
ENSG00000238949,,unknown
ENSG00000252739,,unknown
ENSG00000242119,,unknown
ENSG00000236753,,antisense
ENSG00000147416,29452.0,protein-coding
ENSG00000268041,20811.0,protein-coding
ENSG00000254249,,unknown
ENSG00000261517,,intergenic
ENSG00000258051,,unknown
ENSG00000179943,10599.0,protein-coding
ENSG00000172785,58109.0,protein-coding
ENSG00000108262,20585.0,protein-coding
ENSG00000115155,101495.0,protein-coding
ENSG00000188818,55380.0,protein-coding
ENSG00000261507,,unknown
ENSG00000272010,,unknown
ENSG00000237654,,ncRNA
ENSG00000224805,,intergenic
ENSG00000270772,,unknown
ENSG00000204021,28242.0,protein-coding
ENSG00000167992,37138.0,protein-coding
ENSG00000140987,18984.0,protein-coding
ENSG00000197816,71220.0,protein-coding
ENSG00000221299,,unknown
ENSG00000264441,,unknown
ENSG00000261616,,unknown
ENSG00000232411,,unknown
ENSG00000205086,21438.0,protein-coding
ENSG00000225005,,unknown
ENSG00000124466,4873.0,protein-coding
ENSG00000125998,6670.0,protein-coding
ENSG00000183765,54679.0,protein-coding
ENSG00000161202,18303.0,protein-coding
ENSG00000252854,,unknown
ENSG00000280697,,unknown
ENSG00000274904,,unknown
ENSG00000249002,,unknown
ENSG00000241656,,unknown
ENSG00000168310,86867.0,protein-coding
ENSG00000211883,,unknown
ENSG00000279110,,unknown
ENSG00000178503,,unknown
ENSG00000211875,,unknown
ENSG00000276181,,microRNA
ENSG00000265379,,unknown
ENSG00000108557,129980.0,protein-coding
ENSG00000277074,,unknown
ENSG00000251993,,unknown
ENSG00000200376,,unknown
ENSG00000201066,,unknown
ENSG00000135773,54619.0,protein-coding
ENSG00000227338,,unknown
ENSG00000239939,,unknown
ENSG00000255171,,intergenic
ENSG00000236026,,unknown
ENSG00000158683,208289.0,protein-coding
ENSG00000280227,,unknown
ENSG00000254972,,unknown
ENSG00000265646,,unknown
ENSG00000258527,,unknown
ENSG00000259910,,unknown
ENSG00000111554,59938.0,protein-coding
ENSG00000274605,,ncRNA
ENSG00000253843,,unknown
ENSG00000172772,1468.0,protein-coding
ENSG00000271846,,unknown
ENSG00000227893,,unknown
ENSG00000201050,,unknown
ENSG00000251364,,ncRNA
ENSG00000168827,48297.0,protein-coding
ENSG00000074964,158039.0,protein-coding
ENSG00000137601,219772.0,protein-coding
ENSG00000221007,,unknown
ENSG00000132446,812.0,protein-coding
ENSG00000249443,,unknown
ENSG00000212595,,unknown
ENSG00000267800,,unknown
ENSG00000256640,,unknown
ENSG00000223776,,antisense
ENSG00000278258,,unknown
ENSG00000205726,257461.0,protein-coding
ENSG00000259426,,ncRNA
ENSG00000227751,,unknown
ENSG00000269471,,unknown
ENSG00000100360,18054.0,protein-coding
ENSG00000229983,,unknown
ENSG00000201618,,unknown
ENSG00000253853,,unknown
ENSG00000105750,27475.0,protein-coding
ENSG00000199321,,unknown
ENSG00000068697,19378.0,protein-coding
ENSG00000224048,,unknown
ENSG00000107187,8878.0,protein-coding
ENSG00000270020,,unknown
ENSG00000276915,,unknown
ENSG00000270006,,ncRNA
ENSG00000088808,114395.0,protein-coding
ENSG00000251637,,unknown
ENSG00000207139,,unknown
ENSG00000231735,,unknown
ENSG00000257319,,unknown
ENSG00000249329,,unknown
ENSG00000279468,,unknown
ENSG00000182093,50830.0,protein-coding
ENSG00000238707,,unknown
ENSG00000136531,197317.0,protein-coding
ENSG00000248160,,unknown
ENSG00000281322,,unknown
ENSG00000277467,,unknown
ENSG00000100416,26465.0,protein-coding
ENSG00000248958,,unknown
ENSG00000121381,1074.0,protein-coding
ENSG00000230083,,unknown
ENSG00000151093,11617.0,protein-coding
ENSG00000138813,31299.0,protein-coding
ENSG00000252319,,unknown
ENSG00000248369,,unknown
ENSG00000124749,337504.0,protein-coding
ENSG00000273972,,unknown
ENSG00000237823,,unknown
ENSG00000228780,,unknown
ENSG00000217331,,unknown
ENSG00000149260,59214.0,protein-coding
ENSG00000271250,,unknown
ENSG00000231729,,ncRNA
ENSG00000279756,,unknown
ENSG00000205583,,unknown
ENSG00000230156,,intergenic
ENSG00000269293,,antisense
ENSG00000251174,,unknown
ENSG00000261725,,unknown
ENSG00000106799,50154.0,protein-coding
ENSG00000134077,23949.0,protein-coding
ENSG00000235978,,unknown
ENSG00000250183,,unknown
ENSG00000230267,,unknown
ENSG00000164794,12202.0,protein-coding
ENSG00000243368,,unknown
ENSG00000274502,,unknown
ENSG00000166927,17469.0,protein-coding
ENSG00000232043,,unknown
ENSG00000186666,7090.0,protein-coding
ENSG00000237328,,antisense
ENSG00000200745,,unknown
ENSG00000251106,,unknown
ENSG00000215304,,unknown
ENSG00000279835,,unknown
ENSG00000251196,,unknown
ENSG00000171236,4065.0,protein-coding
ENSG00000250915,,unknown
ENSG00000182095,118624.0,protein-coding
ENSG00000243150,,ncRNA
ENSG00000234818,,unknown
ENSG00000258826,,intergenic
ENSG00000107625,45569.0,protein-coding
ENSG00000154263,97632.0,protein-coding
ENSG00000250193,,unknown
ENSG00000140527,52841.0,protein-coding
ENSG00000279466,,unknown
ENSG00000258452,,unknown
ENSG00000228221,,unknown
ENSG00000270192,,unknown
ENSG00000176435,2266.0,protein-coding
ENSG00000218766,,unknown
ENSG00000166189,2648.0,protein-coding
ENSG00000072506,3115.0,protein-coding
ENSG00000239917,,unknown
ENSG00000274441,,unknown
ENSG00000240979,,unknown
ENSG00000170442,59863.0,protein-coding
ENSG00000157954,43638.0,protein-coding
ENSG00000230568,,unknown
ENSG00000253139,,unknown
ENSG00000231241,,unknown
ENSG00000279058,,unknown
ENSG00000187553,8728.0,protein-coding
ENSG00000266959,,unknown
ENSG00000277156,,unknown
ENSG00000183784,,ncRNA
ENSG00000230403,,unknown
ENSG00000172803,23255.0,protein-coding
ENSG00000162618,116954.0,protein-coding
ENSG00000261739,12483.0,protein-coding
ENSG00000276792,,unknown
ENSG00000066405,34920.0,protein-coding
ENSG00000171101,,pseudo
ENSG00000281068,,unknown
ENSG00000169495,14498.0,protein-coding
ENSG00000258933,,unknown
ENSG00000280229,,unknown
ENSG00000236145,,unknown
ENSG00000124225,63144.0,protein-coding
ENSG00000226273,,unknown
ENSG00000168234,142837.0,protein-coding
ENSG00000249020,,unknown
ENSG00000262488,,unknown
ENSG00000237083,,unknown
ENSG00000233559,,unknown
ENSG00000154265,82933.0,protein-coding
ENSG00000239572,,unknown
ENSG00000271862,,unknown
ENSG00000235734,,unknown
ENSG00000203605,,unknown
ENSG00000232102,,unknown
ENSG00000198399,157850.0,protein-coding
ENSG00000134852,119235.0,protein-coding
ENSG00000234256,,unknown
ENSG00000233524,,unknown
ENSG00000102699,91884.0,protein-coding
ENSG00000254846,,unknown
ENSG00000266275,,unknown
ENSG00000198633,23128.0,protein-coding
ENSG00000123213,149529.0,protein-coding
ENSG00000226525,,unknown
ENSG00000224605,,unknown
ENSG00000258482,,unknown
ENSG00000087245,116991.0,protein-coding
ENSG00000277320,,unknown
ENSG00000140450,13140.0,protein-coding
ENSG00000273244,,unknown
ENSG00000276282,,unknown
ENSG00000278160,,unknown
ENSG00000228112,,unknown
ENSG00000267628,,unknown
ENSG00000239374,,unknown
ENSG00000277972,4809.0,protein-coding
ENSG00000278993,,unknown
ENSG00000110367,43383.0,protein-coding
ENSG00000255258,,ncRNA
ENSG00000111880,353449.0,protein-coding
ENSG00000258845,,unknown
ENSG00000225133,,unknown
ENSG00000175766,16023.0,protein-coding
ENSG00000248564,,unknown
ENSG00000224784,,unknown
ENSG00000169136,5233.0,protein-coding
ENSG00000228069,,unknown
ENSG00000101187,43340.0,protein-coding
ENSG00000278636,,unknown
ENSG00000205936,,unknown
ENSG00000252550,,unknown
ENSG00000105393,13899.0,protein-coding
ENSG00000172824,21169.0,protein-coding
ENSG00000272664,,unknown
ENSG00000196172,19696.0,protein-coding
ENSG00000227447,,unknown
ENSG00000267400,,unknown
ENSG00000181631,3236.0,protein-coding
ENSG00000080819,14277.0,protein-coding
ENSG00000214424,,unknown
ENSG00000281751,,unknown
ENSG00000230741,,unknown
ENSG00000264944,,unknown
ENSG00000278611,,ncRNA
ENSG00000273314,,unknown
ENSG00000267205,,unknown
ENSG00000239776,,unknown
ENSG00000250103,,ncRNA
ENSG00000257735,,unknown
ENSG00000199012,,microRNA
ENSG00000201431,,unknown
ENSG00000232546,,unknown
ENSG00000207279,,snoRNA
ENSG00000105223,31983.0,protein-coding
ENSG00000259916,16051.0,protein-coding
ENSG00000248240,,unknown
ENSG00000124608,13672.0,protein-coding
ENSG00000238773,,unknown
ENSG00000122970,94462.0,protein-coding
ENSG00000154920,8263.0,protein-coding
ENSG00000254795,,unknown
ENSG00000135702,6712.0,protein-coding
ENSG00000177614,111889.0,protein-coding
ENSG00000146938,388226.0,protein-coding
ENSG00000270458,,unknown
ENSG00000105221,55219.0,protein-coding
ENSG00000206974,,unknown
ENSG00000280710,,unknown
ENSG00000100393,88293.0,protein-coding
ENSG00000265135,,microRNA
ENSG00000229466,,unknown
ENSG00000005249,117162.0,protein-coding
ENSG00000213368,,unknown
ENSG00000267959,,microRNA
ENSG00000169184,53221.0,protein-coding
ENSG00000235369,,unknown
ENSG00000165490,58302.0,protein-coding
ENSG00000264750,,unknown
ENSG00000223906,,unknown
ENSG00000249539,,unknown
ENSG00000270976,,unknown
ENSG00000278874,,unknown
ENSG00000281205,,unknown
ENSG00000239615,,unknown
ENSG00000267384,,unknown
ENSG00000275027,,unknown
ENSG00000226387,,antisense
ENSG00000234913,,unknown
ENSG00000237213,,unknown
ENSG00000258996,,unknown
ENSG00000004961,11777.0,protein-coding
ENSG00000221312,,unknown
ENSG00000251354,,unknown
ENSG00000230601,15632.0,protein-coding
ENSG00000265657,,microRNA
ENSG00000250202,,unknown
ENSG00000149131,17466.0,protein-coding
ENSG00000227016,,unknown
ENSG00000014914,8218.0,protein-coding
ENSG00000246223,,intergenic
ENSG00000222064,,unknown
ENSG00000281458,,unknown
ENSG00000237586,,unknown
ENSG00000227107,,unknown
ENSG00000213701,,unknown
ENSG00000257060,,unknown
ENSG00000215498,,unknown
ENSG00000269575,,unknown
ENSG00000204699,,unknown
ENSG00000219770,,unknown
ENSG00000234422,,unknown
ENSG00000275868,,microRNA
ENSG00000180071,49302.0,protein-coding
ENSG00000266804,,unknown
ENSG00000253431,,unknown
ENSG00000240905,,unknown
ENSG00000170293,131646.0,protein-coding
ENSG00000206680,,snoRNA
ENSG00000120162,204572.0,protein-coding
ENSG00000258136,,ncRNA
ENSG00000255749,,unknown
ENSG00000255283,,unknown
ENSG00000157782,26772.0,protein-coding
ENSG00000212380,,unknown
ENSG00000231887,346648.0,protein-coding
ENSG00000256346,,unknown
ENSG00000219757,,unknown
ENSG00000236913,,unknown
ENSG00000136098,27222.0,protein-coding
ENSG00000130764,17946.0,protein-coding
ENSG00000237174,,unknown
ENSG00000251521,,unknown
ENSG00000114125,9356.0,protein-coding
ENSG00000233419,,unknown
ENSG00000239131,,unknown
ENSG00000225311,,unknown
ENSG00000229600,,unknown
ENSG00000105607,23181.0,protein-coding
ENSG00000258358,,unknown
ENSG00000012171,9988.0,protein-coding
ENSG00000213553,,unknown
ENSG00000238660,,unknown
ENSG00000250127,,intergenic
ENSG00000119986,9899.0,protein-coding
ENSG00000227284,,unknown
ENSG00000281646,,unknown
ENSG00000028277,110475.0,protein-coding
ENSG00000258747,,ncRNA
ENSG00000181698,2665.0,protein-coding
ENSG00000279929,,unknown
ENSG00000223342,,unknown
ENSG00000257726,,unknown
ENSG00000251388,,unknown
ENSG00000135446,8286.0,protein-coding
ENSG00000239862,,unknown
ENSG00000272936,,unknown
ENSG00000155636,26587.0,protein-coding
ENSG00000228741,55217.0,protein-coding
ENSG00000130429,20567.0,protein-coding
ENSG00000185758,662.0,protein-coding
ENSG00000271317,,unknown
ENSG00000278701,,unknown
ENSG00000187733,8284.0,protein-coding
ENSG00000270252,,unknown
ENSG00000232764,,unknown
ENSG00000185278,35467.0,protein-coding
ENSG00000249962,,unknown
ENSG00000274274,7336.0,protein-coding
ENSG00000255165,,unknown
ENSG00000233328,,unknown
ENSG00000247315,3353.0,protein-coding
ENSG00000201882,,unknown
ENSG00000094963,26022.0,protein-coding
ENSG00000136895,169395.0,protein-coding
ENSG00000080986,45124.0,protein-coding
ENSG00000254550,491.0,protein-coding
ENSG00000229781,,unknown
ENSG00000272540,,unknown
ENSG00000249958,,unknown
ENSG00000272908,,unknown
ENSG00000159289,12693.0,protein-coding
ENSG00000203909,1233.0,protein-coding
ENSG00000219747,,unknown
ENSG00000250842,,unknown
ENSG00000250571,9498.0,protein-coding
ENSG00000249156,,unknown
ENSG00000241464,,unknown
ENSG00000058262,20042.0,protein-coding
ENSG00000162430,18048.0,protein-coding
ENSG00000157191,19406.0,protein-coding
ENSG00000164647,10454.0,protein-coding
ENSG00000236104,3536.0,protein-coding
ENSG00000267487,,unknown
ENSG00000251039,,unknown
ENSG00000221066,,snoRNA
ENSG00000271771,,unknown
ENSG00000260725,,unknown
ENSG00000244661,,unknown
ENSG00000266620,,unknown
ENSG00000207116,,unknown
ENSG00000229827,,unknown
ENSG00000231027,,unknown
ENSG00000211482,,unknown
ENSG00000183631,2022.0,protein-coding
ENSG00000260483,,unknown
ENSG00000196544,2574.0,protein-coding
ENSG00000230469,,unknown
ENSG00000275230,,unknown
ENSG00000248528,,unknown
ENSG00000162344,6410.0,protein-coding
ENSG00000105609,7870.0,protein-coding
ENSG00000070495,13967.0,protein-coding
ENSG00000265752,,unknown
ENSG00000252872,,unknown
ENSG00000257852,,unknown
ENSG00000197019,4433.0,protein-coding
ENSG00000277711,,unknown
ENSG00000171115,28762.0,protein-coding
ENSG00000280213,,antisense
ENSG00000257021,,unknown
ENSG00000243854,,unknown
ENSG00000270757,50313.0,protein-coding
ENSG00000234041,,unknown
ENSG00000005893,41538.0,protein-coding
ENSG00000274156,,unknown
ENSG00000253046,,unknown
ENSG00000240376,,unknown
ENSG00000252894,,unknown
ENSG00000130985,24267.0,protein-coding
ENSG00000119630,13950.0,protein-coding
ENSG00000278004,,unknown
ENSG00000212475,,unknown
ENSG00000131759,48451.0,protein-coding
ENSG00000182974,,unknown
ENSG00000227583,,unknown
ENSG00000198018,46734.0,protein-coding
ENSG00000180318,21677.0,protein-coding
ENSG00000252719,,unknown
ENSG00000212336,,unknown
ENSG00000183674,,unknown
ENSG00000232459,,unknown
ENSG00000230528,,unknown
ENSG00000227204,,unknown
ENSG00000274748,,unknown
ENSG00000099822,27266.0,protein-coding
ENSG00000257503,,unknown
ENSG00000185432,9045.0,protein-coding
ENSG00000226942,,unknown
ENSG00000165272,6479.0,protein-coding
ENSG00000264871,,unknown
ENSG00000222431,,unknown
ENSG00000279003,,unknown
ENSG00000207992,,microRNA
ENSG00000183054,63373.0,protein-coding
ENSG00000280171,,unknown
ENSG00000213174,,unknown
ENSG00000220537,,unknown
ENSG00000202368,,unknown
ENSG00000203496,,unknown
ENSG00000275640,,microRNA
ENSG00000241429,,unknown
ENSG00000226770,,ncRNA
ENSG00000207330,,unknown
ENSG00000275337,,unknown
ENSG00000153044,20809.0,protein-coding
ENSG00000207073,,unknown
ENSG00000221000,,unknown
ENSG00000274021,,unknown
ENSG00000251451,,unknown
ENSG00000188425,1656.0,protein-coding
ENSG00000128250,3872.0,protein-coding
ENSG00000261135,,unknown
ENSG00000166147,237543.0,protein-coding
ENSG00000226091,,intergenic
ENSG00000218806,,unknown
ENSG00000213857,,unknown
ENSG00000277194,,snoRNA
ENSG00000213994,,unknown
ENSG00000252591,,unknown
ENSG00000207099,,unknown
ENSG00000186439,420754.0,protein-coding
ENSG00000108688,2021.0,protein-coding
ENSG00000180458,,unknown
ENSG00000207063,,snoRNA
ENSG00000248717,,unknown
ENSG00000164485,29828.0,protein-coding
ENSG00000007952,31021.0,protein-coding
ENSG00000235861,,unknown
ENSG00000171806,2437.0,protein-coding
ENSG00000279995,,unknown
ENSG00000158286,15824.0,protein-coding
ENSG00000224418,,unknown
ENSG00000279656,,unknown
ENSG00000225876,,unknown
ENSG00000102218,45418.0,protein-coding
ENSG00000278419,,unknown
ENSG00000279397,,unknown
ENSG00000229241,,unknown
ENSG00000166908,12244.0,protein-coding
ENSG00000277095,,unknown
ENSG00000272154,,unknown
ENSG00000142409,33914.0,protein-coding
ENSG00000255284,,ncRNA
ENSG00000265260,,unknown
ENSG00000243038,,unknown
ENSG00000266478,,microRNA
ENSG00000249771,,unknown
ENSG00000256394,36544.0,protein-coding
ENSG00000215179,,unknown
ENSG00000263809,,unknown
ENSG00000235416,,unknown
ENSG00000238902,,unknown
ENSG00000215183,3623.0,protein-coding
ENSG00000112715,16303.0,protein-coding
ENSG00000071054,197839.0,protein-coding
ENSG00000213700,,unknown
ENSG00000179292,4794.0,protein-coding
ENSG00000225937,,ncRNA
ENSG00000281887,26978.0,protein-coding
ENSG00000249203,,unknown
ENSG00000268009,9831.0,protein-coding
ENSG00000254675,,unknown
ENSG00000233996,,unknown
ENSG00000278122,,unknown
ENSG00000248128,,unknown
ENSG00000174473,1229305.0,protein-coding
ENSG00000256149,,unknown
ENSG00000274223,,unknown
ENSG00000204505,7009.0,protein-coding
ENSG00000250378,14879.0,protein-coding
ENSG00000170927,472325.0,protein-coding
ENSG00000187144,50307.0,protein-coding
ENSG00000215604,,unknown
ENSG00000130962,108020.0,protein-coding
ENSG00000207874,,microRNA
ENSG00000254661,,unknown
ENSG00000266202,,unknown
ENSG00000155016,22088.0,protein-coding
ENSG00000213170,,unknown
ENSG00000170921,418143.0,protein-coding
ENSG00000206034,7105.0,protein-coding
ENSG00000100744,23836.0,protein-coding
ENSG00000263932,,microRNA
ENSG00000245156,,unknown
ENSG00000182162,74535.0,protein-coding
ENSG00000223290,,unknown
ENSG00000201253,,unknown
ENSG00000269930,,unknown
ENSG00000255331,,unknown
ENSG00000278192,,unknown
ENSG00000170468,2428.0,protein-coding
ENSG00000233887,,unknown
ENSG00000184761,,unknown
ENSG00000214298,,unknown
ENSG00000256637,,unknown
ENSG00000235464,,unknown
ENSG00000223705,,pseudo
ENSG00000118194,18754.0,protein-coding
ENSG00000250599,,unknown
ENSG00000132383,70380.0,protein-coding
ENSG00000258934,,unknown
ENSG00000205791,,ncRNA
ENSG00000280064,,unknown
ENSG00000212266,,unknown
ENSG00000264902,,microRNA
ENSG00000269099,,unknown
ENSG00000272100,,unknown
ENSG00000101883,6884.0,protein-coding
ENSG00000235949,,unknown
ENSG00000111700,106209.0,protein-coding
ENSG00000279973,,unknown
ENSG00000274677,,unknown
ENSG00000252823,,unknown
ENSG00000107902,156054.0,protein-coding
ENSG00000267084,,unknown
ENSG00000273819,,unknown
ENSG00000261241,,ncRNA
ENSG00000212034,,unknown
ENSG00000125798,4450.0,protein-coding
ENSG00000235955,,unknown
