26248	OR2K2	olfactory receptor, family 2, subfamily K, member 2	GO_OLFACTORY_RECEPTOR_ACTIVITY	GO_SENSORY_PERCEPTION_OF_CHEMICAL_STIMULUS	GO_DETECTION_OF_STIMULUS	KEGG_OLFACTORY_TRANSDUCTION	REACTOME_OLFACTORY_SIGNALING_PATHWAY	GO_G_PROTEIN_COUPLED_RECEPTOR_ACTIVITY	GO_SENSORY_PERCEPTION	GO_G_PROTEIN_COUPLED_RECEPTOR_SIGNALING_PATHWAY	GO_NEUROLOGICAL_SYSTEM_PROCESS	GO_SIGNALING_RECEPTOR_ACTIVITY
135941	OR2A14	olfactory receptor, family 2, subfamily A, member 14	GO_OLFACTORY_RECEPTOR_ACTIVITY	GO_SENSORY_PERCEPTION_OF_CHEMICAL_STIMULUS	GO_DETECTION_OF_STIMULUS	KEGG_OLFACTORY_TRANSDUCTION	REACTOME_OLFACTORY_SIGNALING_PATHWAY	GO_G_PROTEIN_COUPLED_RECEPTOR_ACTIVITY	GO_SENSORY_PERCEPTION	GO_G_PROTEIN_COUPLED_RECEPTOR_SIGNALING_PATHWAY	GO_NEUROLOGICAL_SYSTEM_PROCESS	GO_SIGNALING_RECEPTOR_ACTIVITY
283093	OR4C12	olfactory receptor, family 4, subfamily C, member 12	GO_OLFACTORY_RECEPTOR_ACTIVITY	GO_SENSORY_PERCEPTION_OF_CHEMICAL_STIMULUS	GO_DETECTION_OF_STIMULUS	KEGG_OLFACTORY_TRANSDUCTION	REACTOME_OLFACTORY_SIGNALING_PATHWAY	GO_G_PROTEIN_COUPLED_RECEPTOR_ACTIVITY	GO_SENSORY_PERCEPTION	GO_G_PROTEIN_COUPLED_RECEPTOR_SIGNALING_PATHWAY	GO_NEUROLOGICAL_SYSTEM_PROCESS	GO_SIGNALING_RECEPTOR_ACTIVITY
8390	OR1G1	olfactory receptor, family 1, subfamily G, member 1	GO_OLFACTORY_RECEPTOR_ACTIVITY	GO_SENSORY_PERCEPTION_OF_CHEMICAL_STIMULUS	GO_DETECTION_OF_STIMULUS	KEGG_OLFACTORY_TRANSDUCTION	REACTOME_OLFACTORY_SIGNALING_PATHWAY	GO_G_PROTEIN_COUPLED_RECEPTOR_ACTIVITY	GO_SENSORY_PERCEPTION	GO_G_PROTEIN_COUPLED_RECEPTOR_SIGNALING_PATHWAY	GO_NEUROLOGICAL_SYSTEM_PROCESS	GO_SIGNALING_RECEPTOR_ACTIVITY
8388	OR1E2	olfactory receptor, family 1, subfamily E, member 2	GO_OLFACTORY_RECEPTOR_ACTIVITY	GO_SENSORY_PERCEPTION_OF_CHEMICAL_STIMULUS	GO_DETECTION_OF_STIMULUS	KEGG_OLFACTORY_TRANSDUCTION	REACTOME_OLFACTORY_SIGNALING_PATHWAY	GO_G_PROTEIN_COUPLED_RECEPTOR_ACTIVITY	GO_SENSORY_PERCEPTION	GO_G_PROTEIN_COUPLED_RECEPTOR_SIGNALING_PATHWAY	GO_NEUROLOGICAL_SYSTEM_PROCESS	GO_SIGNALING_RECEPTOR_ACTIVITY
26532	OR10H3	olfactory receptor, family 10, subfamily H, member 3	GO_OLFACTORY_RECEPTOR_ACTIVITY	GO_SENSORY_PERCEPTION_OF_CHEMICAL_STIMULUS	GO_DETECTION_OF_STIMULUS	KEGG_OLFACTORY_TRANSDUCTION	REACTOME_OLFACTORY_SIGNALING_PATHWAY	GO_G_PROTEIN_COUPLED_RECEPTOR_ACTIVITY	GO_SENSORY_PERCEPTION	GO_G_PROTEIN_COUPLED_RECEPTOR_SIGNALING_PATHWAY	GO_NEUROLOGICAL_SYSTEM_PROCESS	GO_SIGNALING_RECEPTOR_ACTIVITY
26735	OR1L3	olfactory receptor, family 1, subfamily L, member 3	GO_OLFACTORY_RECEPTOR_ACTIVITY	GO_SENSORY_PERCEPTION_OF_CHEMICAL_STIMULUS	GO_DETECTION_OF_STIMULUS	KEGG_OLFACTORY_TRANSDUCTION	REACTOME_OLFACTORY_SIGNALING_PATHWAY	GO_G_PROTEIN_COUPLED_RECEPTOR_ACTIVITY	GO_SENSORY_PERCEPTION	GO_G_PROTEIN_COUPLED_RECEPTOR_SIGNALING_PATHWAY	GO_NEUROLOGICAL_SYSTEM_PROCESS	GO_SIGNALING_RECEPTOR_ACTIVITY
81392	OR2AE1	olfactory receptor, family 2, subfamily AE, member 1	GO_OLFACTORY_RECEPTOR_ACTIVITY	GO_SENSORY_PERCEPTION_OF_CHEMICAL_STIMULUS	GO_DETECTION_OF_STIMULUS	KEGG_OLFACTORY_TRANSDUCTION	REACTOME_OLFACTORY_SIGNALING_PATHWAY	GO_G_PROTEIN_COUPLED_RECEPTOR_ACTIVITY	GO_SENSORY_PERCEPTION	GO_G_PROTEIN_COUPLED_RECEPTOR_SIGNALING_PATHWAY	GO_NEUROLOGICAL_SYSTEM_PROCESS	GO_SIGNALING_RECEPTOR_ACTIVITY
442186	OR2J3	olfactory receptor, family 2, subfamily J, member 3	GO_OLFACTORY_RECEPTOR_ACTIVITY	GO_SENSORY_PERCEPTION_OF_CHEMICAL_STIMULUS	GO_DETECTION_OF_STIMULUS	KEGG_OLFACTORY_TRANSDUCTION	REACTOME_OLFACTORY_SIGNALING_PATHWAY	GO_G_PROTEIN_COUPLED_RECEPTOR_ACTIVITY	GO_SENSORY_PERCEPTION	GO_G_PROTEIN_COUPLED_RECEPTOR_SIGNALING_PATHWAY	GO_NEUROLOGICAL_SYSTEM_PROCESS	GO_SIGNALING_RECEPTOR_ACTIVITY
128371	OR6K6	olfactory receptor, family 6, subfamily K, member 6	GO_OLFACTORY_RECEPTOR_ACTIVITY	GO_SENSORY_PERCEPTION_OF_CHEMICAL_STIMULUS	GO_DETECTION_OF_STIMULUS	KEGG_OLFACTORY_TRANSDUCTION	REACTOME_OLFACTORY_SIGNALING_PATHWAY	GO_G_PROTEIN_COUPLED_RECEPTOR_ACTIVITY	GO_SENSORY_PERCEPTION	GO_G_PROTEIN_COUPLED_RECEPTOR_SIGNALING_PATHWAY	GO_NEUROLOGICAL_SYSTEM_PROCESS	GO_SIGNALING_RECEPTOR_ACTIVITY
79317	OR4K5	olfactory receptor, family 4, subfamily K, member 5	GO_OLFACTORY_RECEPTOR_ACTIVITY	GO_SENSORY_PERCEPTION_OF_CHEMICAL_STIMULUS	GO_DETECTION_OF_STIMULUS	KEGG_OLFACTORY_TRANSDUCTION	REACTOME_OLFACTORY_SIGNALING_PATHWAY	GO_G_PROTEIN_COUPLED_RECEPTOR_ACTIVITY	GO_SENSORY_PERCEPTION	GO_G_PROTEIN_COUPLED_RECEPTOR_SIGNALING_PATHWAY	GO_NEUROLOGICAL_SYSTEM_PROCESS	GO_SIGNALING_RECEPTOR_ACTIVITY
26686	OR4E2	olfactory receptor, family 4, subfamily E, member 2	GO_OLFACTORY_RECEPTOR_ACTIVITY	GO_SENSORY_PERCEPTION_OF_CHEMICAL_STIMULUS	GO_DETECTION_OF_STIMULUS	KEGG_OLFACTORY_TRANSDUCTION	REACTOME_OLFACTORY_SIGNALING_PATHWAY	GO_G_PROTEIN_COUPLED_RECEPTOR_ACTIVITY	GO_SENSORY_PERCEPTION	GO_G_PROTEIN_COUPLED_RECEPTOR_SIGNALING_PATHWAY	GO_NEUROLOGICAL_SYSTEM_PROCESS	GO_SIGNALING_RECEPTOR_ACTIVITY
126370	OR1I1	olfactory receptor, family 1, subfamily I, member 1	GO_OLFACTORY_RECEPTOR_ACTIVITY	GO_SENSORY_PERCEPTION_OF_CHEMICAL_STIMULUS	GO_DETECTION_OF_STIMULUS	KEGG_OLFACTORY_TRANSDUCTION	REACTOME_OLFACTORY_SIGNALING_PATHWAY	GO_G_PROTEIN_COUPLED_RECEPTOR_ACTIVITY	GO_SENSORY_PERCEPTION	GO_G_PROTEIN_COUPLED_RECEPTOR_SIGNALING_PATHWAY	GO_NEUROLOGICAL_SYSTEM_PROCESS	GO_SIGNALING_RECEPTOR_ACTIVITY
26538	OR10H2	olfactory receptor, family 10, subfamily H, member 2	GO_OLFACTORY_RECEPTOR_ACTIVITY	GO_SENSORY_PERCEPTION_OF_CHEMICAL_STIMULUS	GO_DETECTION_OF_STIMULUS	KEGG_OLFACTORY_TRANSDUCTION	REACTOME_OLFACTORY_SIGNALING_PATHWAY	GO_G_PROTEIN_COUPLED_RECEPTOR_ACTIVITY	GO_SENSORY_PERCEPTION	GO_G_PROTEIN_COUPLED_RECEPTOR_SIGNALING_PATHWAY	GO_NEUROLOGICAL_SYSTEM_PROCESS	GO_SIGNALING_RECEPTOR_ACTIVITY
442194	OR10C1	olfactory receptor, family 10, subfamily C, member 1	GO_OLFACTORY_RECEPTOR_ACTIVITY	GO_SENSORY_PERCEPTION_OF_CHEMICAL_STIMULUS	GO_DETECTION_OF_STIMULUS	KEGG_OLFACTORY_TRANSDUCTION	REACTOME_OLFACTORY_SIGNALING_PATHWAY	GO_G_PROTEIN_COUPLED_RECEPTOR_ACTIVITY	GO_SENSORY_PERCEPTION	GO_G_PROTEIN_COUPLED_RECEPTOR_SIGNALING_PATHWAY	GO_NEUROLOGICAL_SYSTEM_PROCESS	GO_SIGNALING_RECEPTOR_ACTIVITY
81448	OR6K2	olfactory receptor, family 6, subfamily K, member 2	GO_OLFACTORY_RECEPTOR_ACTIVITY	GO_SENSORY_PERCEPTION_OF_CHEMICAL_STIMULUS	GO_DETECTION_OF_STIMULUS	KEGG_OLFACTORY_TRANSDUCTION	REACTOME_OLFACTORY_SIGNALING_PATHWAY	GO_G_PROTEIN_COUPLED_RECEPTOR_ACTIVITY	GO_SENSORY_PERCEPTION	GO_G_PROTEIN_COUPLED_RECEPTOR_SIGNALING_PATHWAY	GO_NEUROLOGICAL_SYSTEM_PROCESS	GO_SIGNALING_RECEPTOR_ACTIVITY
219431	OR4S2	olfactory receptor, family 4, subfamily S, member 2	GO_OLFACTORY_RECEPTOR_ACTIVITY	GO_SENSORY_PERCEPTION_OF_CHEMICAL_STIMULUS	GO_DETECTION_OF_STIMULUS	KEGG_OLFACTORY_TRANSDUCTION	REACTOME_OLFACTORY_SIGNALING_PATHWAY	GO_G_PROTEIN_COUPLED_RECEPTOR_ACTIVITY	GO_SENSORY_PERCEPTION	GO_G_PROTEIN_COUPLED_RECEPTOR_SIGNALING_PATHWAY	GO_NEUROLOGICAL_SYSTEM_PROCESS	GO_SIGNALING_RECEPTOR_ACTIVITY
81300	OR4P4	olfactory receptor, family 4, subfamily P, member 4	GO_OLFACTORY_RECEPTOR_ACTIVITY	GO_SENSORY_PERCEPTION_OF_CHEMICAL_STIMULUS	GO_DETECTION_OF_STIMULUS	KEGG_OLFACTORY_TRANSDUCTION	REACTOME_OLFACTORY_SIGNALING_PATHWAY	GO_G_PROTEIN_COUPLED_RECEPTOR_ACTIVITY	GO_SENSORY_PERCEPTION	GO_G_PROTEIN_COUPLED_RECEPTOR_SIGNALING_PATHWAY	GO_NEUROLOGICAL_SYSTEM_PROCESS	GO_SIGNALING_RECEPTOR_ACTIVITY
282770	OR10AG1	olfactory receptor, family 10, subfamily AG, member 1	GO_OLFACTORY_RECEPTOR_ACTIVITY	GO_SENSORY_PERCEPTION_OF_CHEMICAL_STIMULUS	GO_DETECTION_OF_STIMULUS	KEGG_OLFACTORY_TRANSDUCTION	REACTOME_OLFACTORY_SIGNALING_PATHWAY	GO_G_PROTEIN_COUPLED_RECEPTOR_ACTIVITY	GO_SENSORY_PERCEPTION	GO_G_PROTEIN_COUPLED_RECEPTOR_SIGNALING_PATHWAY	GO_NEUROLOGICAL_SYSTEM_PROCESS	GO_SIGNALING_RECEPTOR_ACTIVITY
346528	OR2A1	olfactory receptor, family 2, subfamily A, member 1	GO_OLFACTORY_RECEPTOR_ACTIVITY	GO_SENSORY_PERCEPTION_OF_CHEMICAL_STIMULUS	GO_DETECTION_OF_STIMULUS	KEGG_OLFACTORY_TRANSDUCTION	REACTOME_OLFACTORY_SIGNALING_PATHWAY	GO_G_PROTEIN_COUPLED_RECEPTOR_ACTIVITY	GO_SENSORY_PERCEPTION	GO_G_PROTEIN_COUPLED_RECEPTOR_SIGNALING_PATHWAY	GO_NEUROLOGICAL_SYSTEM_PROCESS	GO_SIGNALING_RECEPTOR_ACTIVITY
402317	OR2A42	olfactory receptor, family 2, subfamily A, member 42	GO_OLFACTORY_RECEPTOR_ACTIVITY	GO_SENSORY_PERCEPTION_OF_CHEMICAL_STIMULUS	GO_DETECTION_OF_STIMULUS	KEGG_OLFACTORY_TRANSDUCTION	REACTOME_OLFACTORY_SIGNALING_PATHWAY	GO_G_PROTEIN_COUPLED_RECEPTOR_ACTIVITY	GO_SENSORY_PERCEPTION	GO_G_PROTEIN_COUPLED_RECEPTOR_SIGNALING_PATHWAY	GO_NEUROLOGICAL_SYSTEM_PROCESS	GO_SIGNALING_RECEPTOR_ACTIVITY
392138	OR2A25	olfactory receptor, family 2, subfamily A, member 25	GO_OLFACTORY_RECEPTOR_ACTIVITY	GO_SENSORY_PERCEPTION_OF_CHEMICAL_STIMULUS	GO_DETECTION_OF_STIMULUS	KEGG_OLFACTORY_TRANSDUCTION	REACTOME_OLFACTORY_SIGNALING_PATHWAY	GO_G_PROTEIN_COUPLED_RECEPTOR_ACTIVITY	GO_SENSORY_PERCEPTION	GO_G_PROTEIN_COUPLED_RECEPTOR_SIGNALING_PATHWAY	GO_NEUROLOGICAL_SYSTEM_PROCESS	GO_SIGNALING_RECEPTOR_ACTIVITY
393046	OR2A5	olfactory receptor, family 2, subfamily A, member 5	GO_OLFACTORY_RECEPTOR_ACTIVITY	GO_SENSORY_PERCEPTION_OF_CHEMICAL_STIMULUS	GO_DETECTION_OF_STIMULUS	KEGG_OLFACTORY_TRANSDUCTION	REACTOME_OLFACTORY_SIGNALING_PATHWAY	GO_G_PROTEIN_COUPLED_RECEPTOR_ACTIVITY	GO_SENSORY_PERCEPTION	GO_G_PROTEIN_COUPLED_RECEPTOR_SIGNALING_PATHWAY	GO_NEUROLOGICAL_SYSTEM_PROCESS	GO_SIGNALING_RECEPTOR_ACTIVITY
81127	OR4K15	olfactory receptor, family 4, subfamily K, member 15	GO_OLFACTORY_RECEPTOR_ACTIVITY	GO_SENSORY_PERCEPTION_OF_CHEMICAL_STIMULUS	GO_DETECTION_OF_STIMULUS	KEGG_OLFACTORY_TRANSDUCTION	REACTOME_OLFACTORY_SIGNALING_PATHWAY	GO_G_PROTEIN_COUPLED_RECEPTOR_ACTIVITY	GO_SENSORY_PERCEPTION	GO_G_PROTEIN_COUPLED_RECEPTOR_SIGNALING_PATHWAY	GO_NEUROLOGICAL_SYSTEM_PROCESS	GO_SIGNALING_RECEPTOR_ACTIVITY
390433	OR4K13	olfactory receptor, family 4, subfamily K, member 13	GO_OLFACTORY_RECEPTOR_ACTIVITY	GO_SENSORY_PERCEPTION_OF_CHEMICAL_STIMULUS	GO_DETECTION_OF_STIMULUS	KEGG_OLFACTORY_TRANSDUCTION	REACTOME_OLFACTORY_SIGNALING_PATHWAY	GO_G_PROTEIN_COUPLED_RECEPTOR_ACTIVITY	GO_SENSORY_PERCEPTION	GO_G_PROTEIN_COUPLED_RECEPTOR_SIGNALING_PATHWAY	GO_NEUROLOGICAL_SYSTEM_PROCESS	GO_SIGNALING_RECEPTOR_ACTIVITY
283092	OR4C13	olfactory receptor, family 4, subfamily C, member 13	GO_OLFACTORY_RECEPTOR_ACTIVITY	GO_SENSORY_PERCEPTION_OF_CHEMICAL_STIMULUS	GO_DETECTION_OF_STIMULUS	KEGG_OLFACTORY_TRANSDUCTION	REACTOME_OLFACTORY_SIGNALING_PATHWAY	GO_G_PROTEIN_COUPLED_RECEPTOR_ACTIVITY	GO_SENSORY_PERCEPTION	GO_G_PROTEIN_COUPLED_RECEPTOR_SIGNALING_PATHWAY	GO_NEUROLOGICAL_SYSTEM_PROCESS	GO_SIGNALING_RECEPTOR_ACTIVITY
219873	OR10S1	olfactory receptor, family 10, subfamily S, member 1	GO_OLFACTORY_RECEPTOR_ACTIVITY	GO_SENSORY_PERCEPTION_OF_CHEMICAL_STIMULUS	GO_DETECTION_OF_STIMULUS	KEGG_OLFACTORY_TRANSDUCTION	REACTOME_OLFACTORY_SIGNALING_PATHWAY	GO_G_PROTEIN_COUPLED_RECEPTOR_ACTIVITY	GO_SENSORY_PERCEPTION	GO_G_PROTEIN_COUPLED_RECEPTOR_SIGNALING_PATHWAY	GO_NEUROLOGICAL_SYSTEM_PROCESS	GO_SIGNALING_RECEPTOR_ACTIVITY
390436	OR4K17	olfactory receptor, family 4, subfamily K, member 17	GO_OLFACTORY_RECEPTOR_ACTIVITY	GO_SENSORY_PERCEPTION_OF_CHEMICAL_STIMULUS	GO_DETECTION_OF_STIMULUS	KEGG_OLFACTORY_TRANSDUCTION	REACTOME_OLFACTORY_SIGNALING_PATHWAY	GO_G_PROTEIN_COUPLED_RECEPTOR_ACTIVITY	GO_SENSORY_PERCEPTION	GO_G_PROTEIN_COUPLED_RECEPTOR_SIGNALING_PATHWAY	GO_NEUROLOGICAL_SYSTEM_PROCESS	GO_SIGNALING_RECEPTOR_ACTIVITY
390437	OR4N5	olfactory receptor, family 4, subfamily N, member 5	GO_OLFACTORY_RECEPTOR_ACTIVITY	GO_SENSORY_PERCEPTION_OF_CHEMICAL_STIMULUS	GO_DETECTION_OF_STIMULUS	KEGG_OLFACTORY_TRANSDUCTION	REACTOME_OLFACTORY_SIGNALING_PATHWAY	GO_G_PROTEIN_COUPLED_RECEPTOR_ACTIVITY	GO_SENSORY_PERCEPTION	GO_G_PROTEIN_COUPLED_RECEPTOR_SIGNALING_PATHWAY	GO_NEUROLOGICAL_SYSTEM_PROCESS	GO_SIGNALING_RECEPTOR_ACTIVITY
26534	OR10G2	olfactory receptor, family 10, subfamily G, member 2	GO_OLFACTORY_RECEPTOR_ACTIVITY	GO_SENSORY_PERCEPTION_OF_CHEMICAL_STIMULUS	GO_DETECTION_OF_STIMULUS	KEGG_OLFACTORY_TRANSDUCTION	REACTOME_OLFACTORY_SIGNALING_PATHWAY	GO_G_PROTEIN_COUPLED_RECEPTOR_ACTIVITY	GO_SENSORY_PERCEPTION	GO_G_PROTEIN_COUPLED_RECEPTOR_SIGNALING_PATHWAY	GO_NEUROLOGICAL_SYSTEM_PROCESS	GO_SIGNALING_RECEPTOR_ACTIVITY
79544	OR4K1	olfactory receptor, family 4, subfamily K, member 1	GO_OLFACTORY_RECEPTOR_ACTIVITY	GO_SENSORY_PERCEPTION_OF_CHEMICAL_STIMULUS	GO_DETECTION_OF_STIMULUS	KEGG_OLFACTORY_TRANSDUCTION	REACTOME_OLFACTORY_SIGNALING_PATHWAY	GO_G_PROTEIN_COUPLED_RECEPTOR_ACTIVITY	GO_SENSORY_PERCEPTION	GO_G_PROTEIN_COUPLED_RECEPTOR_SIGNALING_PATHWAY	GO_NEUROLOGICAL_SYSTEM_PROCESS	GO_SIGNALING_RECEPTOR_ACTIVITY
121364	OR10A7	olfactory receptor, family 10, subfamily A, member 7	GO_OLFACTORY_RECEPTOR_ACTIVITY	GO_SENSORY_PERCEPTION_OF_CHEMICAL_STIMULUS	GO_DETECTION_OF_STIMULUS	KEGG_OLFACTORY_TRANSDUCTION	REACTOME_OLFACTORY_SIGNALING_PATHWAY	GO_G_PROTEIN_COUPLED_RECEPTOR_ACTIVITY	GO_SENSORY_PERCEPTION	GO_G_PROTEIN_COUPLED_RECEPTOR_SIGNALING_PATHWAY	GO_NEUROLOGICAL_SYSTEM_PROCESS	GO_SIGNALING_RECEPTOR_ACTIVITY
121275	OR10AD1	olfactory receptor, family 10, subfamily AD, member 1	GO_OLFACTORY_RECEPTOR_ACTIVITY	GO_SENSORY_PERCEPTION_OF_CHEMICAL_STIMULUS	GO_DETECTION_OF_STIMULUS	KEGG_OLFACTORY_TRANSDUCTION	REACTOME_OLFACTORY_SIGNALING_PATHWAY	GO_G_PROTEIN_COUPLED_RECEPTOR_ACTIVITY	GO_SENSORY_PERCEPTION	GO_G_PROTEIN_COUPLED_RECEPTOR_SIGNALING_PATHWAY	GO_NEUROLOGICAL_SYSTEM_PROCESS	GO_SIGNALING_RECEPTOR_ACTIVITY
126541	OR10H4	olfactory receptor, family 10, subfamily H, member 4	GO_OLFACTORY_RECEPTOR_ACTIVITY	GO_SENSORY_PERCEPTION_OF_CHEMICAL_STIMULUS	GO_DETECTION_OF_STIMULUS	KEGG_OLFACTORY_TRANSDUCTION	REACTOME_OLFACTORY_SIGNALING_PATHWAY	GO_G_PROTEIN_COUPLED_RECEPTOR_ACTIVITY	GO_SENSORY_PERCEPTION	GO_G_PROTEIN_COUPLED_RECEPTOR_SIGNALING_PATHWAY	GO_NEUROLOGICAL_SYSTEM_PROCESS	GO_SIGNALING_RECEPTOR_ACTIVITY
390649	OR4F15	olfactory receptor, family 4, subfamily F, member 15	GO_OLFACTORY_RECEPTOR_ACTIVITY	GO_SENSORY_PERCEPTION_OF_CHEMICAL_STIMULUS	GO_DETECTION_OF_STIMULUS	KEGG_OLFACTORY_TRANSDUCTION	REACTOME_OLFACTORY_SIGNALING_PATHWAY	GO_G_PROTEIN_COUPLED_RECEPTOR_ACTIVITY	GO_SENSORY_PERCEPTION	GO_G_PROTEIN_COUPLED_RECEPTOR_SIGNALING_PATHWAY	GO_NEUROLOGICAL_SYSTEM_PROCESS	GO_SIGNALING_RECEPTOR_ACTIVITY
653166	OR1D4	olfactory receptor, family 1, subfamily D, member 4 (gene/pseudogene)	GO_OLFACTORY_RECEPTOR_ACTIVITY	GO_SENSORY_PERCEPTION_OF_CHEMICAL_STIMULUS	GO_DETECTION_OF_STIMULUS	KEGG_OLFACTORY_TRANSDUCTION	REACTOME_OLFACTORY_SIGNALING_PATHWAY	GO_G_PROTEIN_COUPLED_RECEPTOR_ACTIVITY	GO_SENSORY_PERCEPTION	GO_G_PROTEIN_COUPLED_RECEPTOR_SIGNALING_PATHWAY	GO_NEUROLOGICAL_SYSTEM_PROCESS	GO_SIGNALING_RECEPTOR_ACTIVITY
8386	OR1D5	olfactory receptor, family 1, subfamily D, member 5	GO_OLFACTORY_RECEPTOR_ACTIVITY	GO_SENSORY_PERCEPTION_OF_CHEMICAL_STIMULUS	GO_DETECTION_OF_STIMULUS	KEGG_OLFACTORY_TRANSDUCTION	REACTOME_OLFACTORY_SIGNALING_PATHWAY	GO_G_PROTEIN_COUPLED_RECEPTOR_ACTIVITY	GO_SENSORY_PERCEPTION	GO_G_PROTEIN_COUPLED_RECEPTOR_SIGNALING_PATHWAY	GO_NEUROLOGICAL_SYSTEM_PROCESS	GO_SIGNALING_RECEPTOR_ACTIVITY
119765	OR4B1	olfactory receptor, family 4, subfamily B, member 1	GO_OLFACTORY_RECEPTOR_ACTIVITY	GO_SENSORY_PERCEPTION_OF_CHEMICAL_STIMULUS	GO_DETECTION_OF_STIMULUS	KEGG_OLFACTORY_TRANSDUCTION	REACTOME_OLFACTORY_SIGNALING_PATHWAY	GO_G_PROTEIN_COUPLED_RECEPTOR_ACTIVITY	GO_SENSORY_PERCEPTION	GO_G_PROTEIN_COUPLED_RECEPTOR_SIGNALING_PATHWAY	GO_NEUROLOGICAL_SYSTEM_PROCESS	GO_SIGNALING_RECEPTOR_ACTIVITY
390261	OR6M1	olfactory receptor, family 6, subfamily M, member 1	GO_OLFACTORY_RECEPTOR_ACTIVITY	GO_SENSORY_PERCEPTION_OF_CHEMICAL_STIMULUS	GO_DETECTION_OF_STIMULUS	KEGG_OLFACTORY_TRANSDUCTION	REACTOME_OLFACTORY_SIGNALING_PATHWAY	GO_G_PROTEIN_COUPLED_RECEPTOR_ACTIVITY	GO_SENSORY_PERCEPTION	GO_G_PROTEIN_COUPLED_RECEPTOR_SIGNALING_PATHWAY	GO_NEUROLOGICAL_SYSTEM_PROCESS	GO_SIGNALING_RECEPTOR_ACTIVITY
347168	OR1J1	olfactory receptor, family 1, subfamily J, member 1	GO_OLFACTORY_RECEPTOR_ACTIVITY	GO_SENSORY_PERCEPTION_OF_CHEMICAL_STIMULUS	GO_DETECTION_OF_STIMULUS	KEGG_OLFACTORY_TRANSDUCTION	REACTOME_OLFACTORY_SIGNALING_PATHWAY	GO_G_PROTEIN_COUPLED_RECEPTOR_ACTIVITY	GO_SENSORY_PERCEPTION	GO_G_PROTEIN_COUPLED_RECEPTOR_SIGNALING_PATHWAY	GO_NEUROLOGICAL_SYSTEM_PROCESS	GO_SIGNALING_RECEPTOR_ACTIVITY
4993	OR2C1	olfactory receptor, family 2, subfamily C, member 1	GO_OLFACTORY_RECEPTOR_ACTIVITY	GO_SENSORY_PERCEPTION_OF_CHEMICAL_STIMULUS	GO_DETECTION_OF_STIMULUS	KEGG_OLFACTORY_TRANSDUCTION	REACTOME_OLFACTORY_SIGNALING_PATHWAY	GO_G_PROTEIN_COUPLED_RECEPTOR_ACTIVITY	GO_SENSORY_PERCEPTION	GO_G_PROTEIN_COUPLED_RECEPTOR_SIGNALING_PATHWAY	GO_NEUROLOGICAL_SYSTEM_PROCESS	GO_SIGNALING_RECEPTOR_ACTIVITY
219958	OR1S2	olfactory receptor, family 1, subfamily S, member 2	GO_OLFACTORY_RECEPTOR_ACTIVITY	GO_SENSORY_PERCEPTION_OF_CHEMICAL_STIMULUS	GO_DETECTION_OF_STIMULUS	KEGG_OLFACTORY_TRANSDUCTION	REACTOME_OLFACTORY_SIGNALING_PATHWAY	GO_G_PROTEIN_COUPLED_RECEPTOR_ACTIVITY	GO_SENSORY_PERCEPTION	GO_G_PROTEIN_COUPLED_RECEPTOR_SIGNALING_PATHWAY	GO_NEUROLOGICAL_SYSTEM_PROCESS	GO_SIGNALING_RECEPTOR_ACTIVITY
81099	OR4F17	olfactory receptor, family 4, subfamily F, member 17	GO_OLFACTORY_RECEPTOR_ACTIVITY	GO_SENSORY_PERCEPTION_OF_CHEMICAL_STIMULUS	GO_DETECTION_OF_STIMULUS	KEGG_OLFACTORY_TRANSDUCTION	REACTOME_OLFACTORY_SIGNALING_PATHWAY	GO_G_PROTEIN_COUPLED_RECEPTOR_ACTIVITY	GO_SENSORY_PERCEPTION	GO_G_PROTEIN_COUPLED_RECEPTOR_SIGNALING_PATHWAY	GO_NEUROLOGICAL_SYSTEM_PROCESS	GO_SIGNALING_RECEPTOR_ACTIVITY
219869	OR10G8	olfactory receptor, family 10, subfamily G, member 8	GO_OLFACTORY_RECEPTOR_ACTIVITY	GO_SENSORY_PERCEPTION_OF_CHEMICAL_STIMULUS	GO_DETECTION_OF_STIMULUS	KEGG_OLFACTORY_TRANSDUCTION	REACTOME_OLFACTORY_SIGNALING_PATHWAY	GO_G_PROTEIN_COUPLED_RECEPTOR_ACTIVITY	GO_SENSORY_PERCEPTION	GO_G_PROTEIN_COUPLED_RECEPTOR_SIGNALING_PATHWAY	GO_NEUROLOGICAL_SYSTEM_PROCESS	GO_SIGNALING_RECEPTOR_ACTIVITY
26692	OR2W1	olfactory receptor, family 2, subfamily W, member 1	GO_OLFACTORY_RECEPTOR_ACTIVITY	GO_SENSORY_PERCEPTION_OF_CHEMICAL_STIMULUS	GO_DETECTION_OF_STIMULUS	KEGG_OLFACTORY_TRANSDUCTION	REACTOME_OLFACTORY_SIGNALING_PATHWAY	GO_G_PROTEIN_COUPLED_RECEPTOR_ACTIVITY	GO_SENSORY_PERCEPTION	GO_G_PROTEIN_COUPLED_RECEPTOR_SIGNALING_PATHWAY	GO_NEUROLOGICAL_SYSTEM_PROCESS	GO_SIGNALING_RECEPTOR_ACTIVITY
