3765	KCNJ9	potassium inwardly-rectifying channel, subfamily J, member 9		GO_INTRINSIC_COMPONENT_OF_PLASMA_MEMBRANE	GO_TRANSPORTER_ACTIVITY	GO_TRANSMEMBRANE_TRANSPORTER_ACTIVITY	GO_ION_TRANSPORT	GO_TRANSMEMBRANE_TRANSPORT	GO_ION_TRANSMEMBRANE_TRANSPORT		BENPORATH_ES_WITH_H3K27ME3	
3747	KCNC2	potassium voltage-gated channel, Shaw-related subfamily, member 2		GO_INTRINSIC_COMPONENT_OF_PLASMA_MEMBRANE	GO_TRANSPORTER_ACTIVITY	GO_TRANSMEMBRANE_TRANSPORTER_ACTIVITY	GO_ION_TRANSPORT	GO_TRANSMEMBRANE_TRANSPORT	GO_ION_TRANSMEMBRANE_TRANSPORT		BENPORATH_ES_WITH_H3K27ME3	
2742	GLRA2	glycine receptor, alpha 2		GO_INTRINSIC_COMPONENT_OF_PLASMA_MEMBRANE	GO_TRANSPORTER_ACTIVITY	GO_TRANSMEMBRANE_TRANSPORTER_ACTIVITY	GO_ION_TRANSPORT	GO_TRANSMEMBRANE_TRANSPORT	GO_ION_TRANSMEMBRANE_TRANSPORT			
2566	GABRG2	gamma-aminobutyric acid (GABA) A receptor, gamma 2		GO_INTRINSIC_COMPONENT_OF_PLASMA_MEMBRANE	GO_TRANSPORTER_ACTIVITY	GO_TRANSMEMBRANE_TRANSPORTER_ACTIVITY	GO_ION_TRANSPORT	GO_TRANSMEMBRANE_TRANSPORT	GO_ION_TRANSMEMBRANE_TRANSPORT			
8001	GLRA3	glycine receptor, alpha 3		GO_INTRINSIC_COMPONENT_OF_PLASMA_MEMBRANE	GO_TRANSPORTER_ACTIVITY	GO_TRANSMEMBRANE_TRANSPORTER_ACTIVITY	GO_ION_TRANSPORT	GO_TRANSMEMBRANE_TRANSPORT	GO_ION_TRANSMEMBRANE_TRANSPORT			
2554	GABRA1	gamma-aminobutyric acid (GABA) A receptor, alpha 1		GO_INTRINSIC_COMPONENT_OF_PLASMA_MEMBRANE	GO_TRANSPORTER_ACTIVITY	GO_TRANSMEMBRANE_TRANSPORTER_ACTIVITY	GO_ION_TRANSPORT	GO_TRANSMEMBRANE_TRANSPORT	GO_ION_TRANSMEMBRANE_TRANSPORT			
9177	HTR3B	5-hydroxytryptamine (serotonin) receptor 3B		GO_INTRINSIC_COMPONENT_OF_PLASMA_MEMBRANE	GO_TRANSPORTER_ACTIVITY	GO_TRANSMEMBRANE_TRANSPORTER_ACTIVITY	GO_ION_TRANSPORT	GO_TRANSMEMBRANE_TRANSPORT	GO_ION_TRANSMEMBRANE_TRANSPORT			
285242	HTR3E	5-hydroxytryptamine (serotonin) receptor 3, family member E		GO_INTRINSIC_COMPONENT_OF_PLASMA_MEMBRANE	GO_TRANSPORTER_ACTIVITY	GO_TRANSMEMBRANE_TRANSPORTER_ACTIVITY	GO_ION_TRANSPORT	GO_TRANSMEMBRANE_TRANSPORT	GO_ION_TRANSMEMBRANE_TRANSPORT			
2560	GABRB1	gamma-aminobutyric acid (GABA) A receptor, beta 1		GO_INTRINSIC_COMPONENT_OF_PLASMA_MEMBRANE	GO_TRANSPORTER_ACTIVITY	GO_TRANSMEMBRANE_TRANSPORTER_ACTIVITY	GO_ION_TRANSPORT	GO_TRANSMEMBRANE_TRANSPORT	GO_ION_TRANSMEMBRANE_TRANSPORT			
492	ATP2B3	ATPase, Ca++ transporting, plasma membrane 3		GO_INTRINSIC_COMPONENT_OF_PLASMA_MEMBRANE	GO_TRANSPORTER_ACTIVITY	GO_TRANSMEMBRANE_TRANSPORTER_ACTIVITY	GO_ION_TRANSPORT	GO_TRANSMEMBRANE_TRANSPORT	GO_ION_TRANSMEMBRANE_TRANSPORT			
3739	KCNA4	potassium voltage-gated channel, shaker-related subfamily, member 4		GO_INTRINSIC_COMPONENT_OF_PLASMA_MEMBRANE	GO_TRANSPORTER_ACTIVITY	GO_TRANSMEMBRANE_TRANSPORTER_ACTIVITY	GO_ION_TRANSPORT	GO_TRANSMEMBRANE_TRANSPORT	GO_ION_TRANSMEMBRANE_TRANSPORT			
9312	KCNB2	potassium voltage-gated channel, Shab-related subfamily, member 2		GO_INTRINSIC_COMPONENT_OF_PLASMA_MEMBRANE	GO_TRANSPORTER_ACTIVITY	GO_TRANSMEMBRANE_TRANSPORTER_ACTIVITY	GO_ION_TRANSPORT	GO_TRANSMEMBRANE_TRANSPORT	GO_ION_TRANSMEMBRANE_TRANSPORT			
10786	SLC17A3	solute carrier family 17 (sodium phosphate), member 3		GO_INTRINSIC_COMPONENT_OF_PLASMA_MEMBRANE	GO_TRANSPORTER_ACTIVITY	GO_TRANSMEMBRANE_TRANSPORTER_ACTIVITY	GO_ION_TRANSPORT	GO_TRANSMEMBRANE_TRANSPORT	GO_ION_TRANSMEMBRANE_TRANSPORT			
57113	TRPC7	transient receptor potential cation channel, subfamily C, member 7		GO_INTRINSIC_COMPONENT_OF_PLASMA_MEMBRANE	GO_TRANSPORTER_ACTIVITY	GO_TRANSMEMBRANE_TRANSPORTER_ACTIVITY	GO_ION_TRANSPORT	GO_TRANSMEMBRANE_TRANSPORT	GO_ION_TRANSMEMBRANE_TRANSPORT			
221074	SLC39A12	solute carrier family 39 (zinc transporter), member 12		GO_INTRINSIC_COMPONENT_OF_PLASMA_MEMBRANE	GO_TRANSPORTER_ACTIVITY	GO_TRANSMEMBRANE_TRANSPORTER_ACTIVITY	GO_ION_TRANSPORT	GO_TRANSMEMBRANE_TRANSPORT	GO_ION_TRANSMEMBRANE_TRANSPORT			
83697	SLC4A9	solute carrier family 4, sodium bicarbonate cotransporter, member 9		GO_INTRINSIC_COMPONENT_OF_PLASMA_MEMBRANE	GO_TRANSPORTER_ACTIVITY	GO_TRANSMEMBRANE_TRANSPORTER_ACTIVITY	GO_ION_TRANSPORT	GO_TRANSMEMBRANE_TRANSPORT	GO_ION_TRANSMEMBRANE_TRANSPORT			
6561	SLC13A1	solute carrier family 13 (sodium/sulfate symporters), member 1		GO_INTRINSIC_COMPONENT_OF_PLASMA_MEMBRANE	GO_TRANSPORTER_ACTIVITY	GO_TRANSMEMBRANE_TRANSPORTER_ACTIVITY	GO_ION_TRANSPORT	GO_TRANSMEMBRANE_TRANSPORT	GO_ION_TRANSMEMBRANE_TRANSPORT			
6568	SLC17A1	solute carrier family 17 (sodium phosphate), member 1		GO_INTRINSIC_COMPONENT_OF_PLASMA_MEMBRANE	GO_TRANSPORTER_ACTIVITY	GO_TRANSMEMBRANE_TRANSPORTER_ACTIVITY	GO_ION_TRANSPORT	GO_TRANSMEMBRANE_TRANSPORT	GO_ION_TRANSMEMBRANE_TRANSPORT			
10246	SLC17A2	solute carrier family 17 (sodium phosphate), member 2		GO_INTRINSIC_COMPONENT_OF_PLASMA_MEMBRANE	GO_TRANSPORTER_ACTIVITY	GO_TRANSMEMBRANE_TRANSPORTER_ACTIVITY	GO_ION_TRANSPORT	GO_TRANSMEMBRANE_TRANSPORT	GO_ION_TRANSMEMBRANE_TRANSPORT			
6005	RHAG	Rh-associated glycoprotein		GO_INTRINSIC_COMPONENT_OF_PLASMA_MEMBRANE	GO_TRANSPORTER_ACTIVITY	GO_TRANSMEMBRANE_TRANSPORTER_ACTIVITY	GO_ION_TRANSPORT	GO_TRANSMEMBRANE_TRANSPORT	GO_ION_TRANSMEMBRANE_TRANSPORT			
6559	SLC12A3	solute carrier family 12 (sodium/chloride transporters), member 3		GO_INTRINSIC_COMPONENT_OF_PLASMA_MEMBRANE	GO_TRANSPORTER_ACTIVITY	GO_TRANSMEMBRANE_TRANSPORTER_ACTIVITY	GO_ION_TRANSPORT	GO_TRANSMEMBRANE_TRANSPORT	GO_ION_TRANSMEMBRANE_TRANSPORT			
7809	BSND	Bartter syndrome, infantile, with sensorineural deafness (Barttin)		GO_INTRINSIC_COMPONENT_OF_PLASMA_MEMBRANE	GO_TRANSPORTER_ACTIVITY	GO_TRANSMEMBRANE_TRANSPORTER_ACTIVITY	GO_ION_TRANSPORT	GO_TRANSMEMBRANE_TRANSPORT	GO_ION_TRANSMEMBRANE_TRANSPORT			
57282	SLC4A10	solute carrier family 4, sodium bicarbonate transporter, member 10		GO_INTRINSIC_COMPONENT_OF_PLASMA_MEMBRANE	GO_TRANSPORTER_ACTIVITY	GO_TRANSMEMBRANE_TRANSPORTER_ACTIVITY	GO_ION_TRANSPORT	GO_TRANSMEMBRANE_TRANSPORT	GO_ION_TRANSMEMBRANE_TRANSPORT			
6521	SLC4A1	solute carrier family 4, anion exchanger, member 1 (erythrocyte membrane protein band 3, Diego blood group)		GO_INTRINSIC_COMPONENT_OF_PLASMA_MEMBRANE	GO_TRANSPORTER_ACTIVITY	GO_TRANSMEMBRANE_TRANSPORTER_ACTIVITY	GO_ION_TRANSPORT	GO_TRANSMEMBRANE_TRANSPORT	GO_ION_TRANSMEMBRANE_TRANSPORT			
6511	SLC1A6	solute carrier family 1 (high affinity aspartate/glutamate transporter), member 6		GO_INTRINSIC_COMPONENT_OF_PLASMA_MEMBRANE	GO_TRANSPORTER_ACTIVITY	GO_TRANSMEMBRANE_TRANSPORTER_ACTIVITY	GO_ION_TRANSPORT	GO_TRANSMEMBRANE_TRANSPORT	GO_ION_TRANSMEMBRANE_TRANSPORT			
340024	SLC6A19	solute carrier family 6 (neutral amino acid transporter), member 19		GO_INTRINSIC_COMPONENT_OF_PLASMA_MEMBRANE	GO_TRANSPORTER_ACTIVITY	GO_TRANSMEMBRANE_TRANSPORTER_ACTIVITY	GO_ION_TRANSPORT	GO_TRANSMEMBRANE_TRANSPORT	GO_ION_TRANSMEMBRANE_TRANSPORT			
348932	SLC6A18	solute carrier family 6, member 18		GO_INTRINSIC_COMPONENT_OF_PLASMA_MEMBRANE	GO_TRANSPORTER_ACTIVITY	GO_TRANSMEMBRANE_TRANSPORTER_ACTIVITY	GO_ION_TRANSPORT	GO_TRANSMEMBRANE_TRANSPORT	GO_ION_TRANSMEMBRANE_TRANSPORT			
89872	AQP10	aquaporin 10		GO_INTRINSIC_COMPONENT_OF_PLASMA_MEMBRANE	GO_TRANSPORTER_ACTIVITY	GO_TRANSMEMBRANE_TRANSPORTER_ACTIVITY	GO_ION_TRANSPORT	GO_TRANSMEMBRANE_TRANSPORT	GO_ION_TRANSMEMBRANE_TRANSPORT			
116085	SLC22A12	solute carrier family 22 (organic anion/urate transporter), member 12		GO_INTRINSIC_COMPONENT_OF_PLASMA_MEMBRANE	GO_TRANSPORTER_ACTIVITY	GO_TRANSMEMBRANE_TRANSPORTER_ACTIVITY	GO_ION_TRANSPORT	GO_TRANSMEMBRANE_TRANSPORT	GO_ION_TRANSMEMBRANE_TRANSPORT			
10864	SLC22A7	solute carrier family 22 (organic anion transporter), member 7		GO_INTRINSIC_COMPONENT_OF_PLASMA_MEMBRANE	GO_TRANSPORTER_ACTIVITY	GO_TRANSMEMBRANE_TRANSPORTER_ACTIVITY	GO_ION_TRANSPORT	GO_TRANSMEMBRANE_TRANSPORT	GO_ION_TRANSMEMBRANE_TRANSPORT			
9376	SLC22A8	solute carrier family 22 (organic anion transporter), member 8		GO_INTRINSIC_COMPONENT_OF_PLASMA_MEMBRANE	GO_TRANSPORTER_ACTIVITY	GO_TRANSMEMBRANE_TRANSPORTER_ACTIVITY	GO_ION_TRANSPORT	GO_TRANSMEMBRANE_TRANSPORT	GO_ION_TRANSMEMBRANE_TRANSPORT			
157724	SLC7A13	solute carrier family 7 (anionic amino acid transporter), member 13		GO_INTRINSIC_COMPONENT_OF_PLASMA_MEMBRANE	GO_TRANSPORTER_ACTIVITY	GO_TRANSMEMBRANE_TRANSPORTER_ACTIVITY	GO_ION_TRANSPORT	GO_TRANSMEMBRANE_TRANSPORT	GO_ION_TRANSMEMBRANE_TRANSPORT			
60482	SLC5A7	solute carrier family 5 (choline transporter), member 7		GO_INTRINSIC_COMPONENT_OF_PLASMA_MEMBRANE	GO_TRANSPORTER_ACTIVITY	GO_TRANSMEMBRANE_TRANSPORTER_ACTIVITY	GO_ION_TRANSPORT	GO_TRANSMEMBRANE_TRANSPORT				
9390	SLC22A13	solute carrier family 22 (organic anion transporter), member 13		GO_INTRINSIC_COMPONENT_OF_PLASMA_MEMBRANE	GO_TRANSPORTER_ACTIVITY	GO_TRANSMEMBRANE_TRANSPORTER_ACTIVITY	GO_ION_TRANSPORT	GO_TRANSMEMBRANE_TRANSPORT				
9389	SLC22A14	solute carrier family 22, member 14		GO_INTRINSIC_COMPONENT_OF_PLASMA_MEMBRANE	GO_TRANSPORTER_ACTIVITY	GO_TRANSMEMBRANE_TRANSPORTER_ACTIVITY	GO_ION_TRANSPORT	GO_TRANSMEMBRANE_TRANSPORT				
6514	SLC2A2	solute carrier family 2 (facilitated glucose transporter), member 2		GO_INTRINSIC_COMPONENT_OF_PLASMA_MEMBRANE	GO_TRANSPORTER_ACTIVITY	GO_TRANSMEMBRANE_TRANSPORTER_ACTIVITY	GO_ION_TRANSPORT	GO_TRANSMEMBRANE_TRANSPORT				
3358	HTR2C	5-hydroxytryptamine (serotonin) receptor 2C		GO_INTRINSIC_COMPONENT_OF_PLASMA_MEMBRANE			GO_ION_TRANSPORT	GO_TRANSMEMBRANE_TRANSPORT	GO_ION_TRANSMEMBRANE_TRANSPORT		BENPORATH_ES_WITH_H3K27ME3	
1814	DRD3	dopamine receptor D3		GO_INTRINSIC_COMPONENT_OF_PLASMA_MEMBRANE			GO_ION_TRANSPORT			GO_SYSTEM_PROCESS		GO_NEUROLOGICAL_SYSTEM_PROCESS
846	CASR	calcium-sensing receptor		GO_INTRINSIC_COMPONENT_OF_PLASMA_MEMBRANE			GO_ION_TRANSPORT					
1816	DRD5	dopamine receptor D5		GO_INTRINSIC_COMPONENT_OF_PLASMA_MEMBRANE						GO_SYSTEM_PROCESS	BENPORATH_ES_WITH_H3K27ME3	GO_NEUROLOGICAL_SYSTEM_PROCESS
2916	GRM6	glutamate receptor, metabotropic 6		GO_INTRINSIC_COMPONENT_OF_PLASMA_MEMBRANE						GO_SYSTEM_PROCESS	BENPORATH_ES_WITH_H3K27ME3	GO_NEUROLOGICAL_SYSTEM_PROCESS
11255	HRH3	histamine receptor H3		GO_INTRINSIC_COMPONENT_OF_PLASMA_MEMBRANE						GO_SYSTEM_PROCESS		GO_NEUROLOGICAL_SYSTEM_PROCESS
23620	NTSR2	neurotensin receptor 2		GO_INTRINSIC_COMPONENT_OF_PLASMA_MEMBRANE						GO_SYSTEM_PROCESS		GO_NEUROLOGICAL_SYSTEM_PROCESS
3973	LHCGR	luteinizing hormone/choriogonadotropin receptor		GO_INTRINSIC_COMPONENT_OF_PLASMA_MEMBRANE						GO_SYSTEM_PROCESS		GO_NEUROLOGICAL_SYSTEM_PROCESS
9293	GPR52	G protein-coupled receptor 52		GO_INTRINSIC_COMPONENT_OF_PLASMA_MEMBRANE						GO_SYSTEM_PROCESS		GO_NEUROLOGICAL_SYSTEM_PROCESS
94233	OPN4	opsin 4		GO_INTRINSIC_COMPONENT_OF_PLASMA_MEMBRANE						GO_SYSTEM_PROCESS		GO_NEUROLOGICAL_SYSTEM_PROCESS
5995	RGR	retinal G protein coupled receptor		GO_INTRINSIC_COMPONENT_OF_PLASMA_MEMBRANE						GO_SYSTEM_PROCESS		GO_NEUROLOGICAL_SYSTEM_PROCESS
2865	FFAR3	free fatty acid receptor 3		GO_INTRINSIC_COMPONENT_OF_PLASMA_MEMBRANE						GO_SYSTEM_PROCESS		
4868	NPHS1	nephrosis 1, congenital, Finnish type (nephrin)		GO_INTRINSIC_COMPONENT_OF_PLASMA_MEMBRANE						GO_SYSTEM_PROCESS		
2834	PRLHR	prolactin releasing hormone receptor		GO_INTRINSIC_COMPONENT_OF_PLASMA_MEMBRANE							BENPORATH_ES_WITH_H3K27ME3	
2830	GPR6	G protein-coupled receptor 6		GO_INTRINSIC_COMPONENT_OF_PLASMA_MEMBRANE							BENPORATH_ES_WITH_H3K27ME3	
3362	HTR6	5-hydroxytryptamine (serotonin) receptor 6		GO_INTRINSIC_COMPONENT_OF_PLASMA_MEMBRANE							BENPORATH_ES_WITH_H3K27ME3	
2044	EPHA5	EPH receptor A5		GO_INTRINSIC_COMPONENT_OF_PLASMA_MEMBRANE							BENPORATH_ES_WITH_H3K27ME3	
9248	GPR50	G protein-coupled receptor 50		GO_INTRINSIC_COMPONENT_OF_PLASMA_MEMBRANE								
2913	GRM3	glutamate receptor, metabotropic 3		GO_INTRINSIC_COMPONENT_OF_PLASMA_MEMBRANE								
3354	HTR1E	5-hydroxytryptamine (serotonin) receptor 1E		GO_INTRINSIC_COMPONENT_OF_PLASMA_MEMBRANE								
3061	HCRTR1	hypocretin (orexin) receptor 1		GO_INTRINSIC_COMPONENT_OF_PLASMA_MEMBRANE								
128674	PROKR2	prokineticin receptor 2		GO_INTRINSIC_COMPONENT_OF_PLASMA_MEMBRANE								
4543	MTNR1A	melatonin receptor 1A		GO_INTRINSIC_COMPONENT_OF_PLASMA_MEMBRANE								
4161	MC5R	melanocortin 5 receptor		GO_INTRINSIC_COMPONENT_OF_PLASMA_MEMBRANE								
4158	MC2R	melanocortin 2 receptor (adrenocorticotropic hormone)		GO_INTRINSIC_COMPONENT_OF_PLASMA_MEMBRANE								
2492	FSHR	follicle stimulating hormone receptor		GO_INTRINSIC_COMPONENT_OF_PLASMA_MEMBRANE								
51289	RXFP3	relaxin/insulin-like family peptide receptor 3		GO_INTRINSIC_COMPONENT_OF_PLASMA_MEMBRANE								
10803	CCR9	chemokine (C-C motif) receptor 9		GO_INTRINSIC_COMPONENT_OF_PLASMA_MEMBRANE								
117196	MRGPRX4	MAS-related GPR, member X4		GO_INTRINSIC_COMPONENT_OF_PLASMA_MEMBRANE								
2845	GPR22	G protein-coupled receptor 22		GO_INTRINSIC_COMPONENT_OF_PLASMA_MEMBRANE								
269	AMHR2	anti-Mullerian hormone receptor, type II		GO_INTRINSIC_COMPONENT_OF_PLASMA_MEMBRANE								
696	BTN1A1	butyrophilin, subfamily 1, member A1		GO_INTRINSIC_COMPONENT_OF_PLASMA_MEMBRANE								
27328	PCDH11X	protocadherin 11 X-linked		GO_INTRINSIC_COMPONENT_OF_PLASMA_MEMBRANE								
729956	SHISA7	shisa homolog 7 (Xenopus laevis)		GO_INTRINSIC_COMPONENT_OF_PLASMA_MEMBRANE								
6708	SPTA1	spectrin, alpha, erythrocytic 1 (elliptocytosis 2)		GO_INTRINSIC_COMPONENT_OF_PLASMA_MEMBRANE								
118427	OLFM3	olfactomedin 3		GO_INTRINSIC_COMPONENT_OF_PLASMA_MEMBRANE								
2814	GP5	glycoprotein V (platelet)		GO_INTRINSIC_COMPONENT_OF_PLASMA_MEMBRANE								
402117	VWC2L	von Willebrand factor C domain containing protein 2-like		GO_INTRINSIC_COMPONENT_OF_PLASMA_MEMBRANE								
56141	PCDHA7	protocadherin alpha 7		GO_INTRINSIC_COMPONENT_OF_PLASMA_MEMBRANE								
50508	NOX3	NADPH oxidase 3		GO_INTRINSIC_COMPONENT_OF_PLASMA_MEMBRANE								
3809	KIR2DS4	killer cell immunoglobulin-like receptor, two domains, short cytoplasmic tail, 4		GO_INTRINSIC_COMPONENT_OF_PLASMA_MEMBRANE								
56143	PCDHA5	protocadherin alpha 5		GO_INTRINSIC_COMPONENT_OF_PLASMA_MEMBRANE								
2815	GP9	glycoprotein IX (platelet)		GO_INTRINSIC_COMPONENT_OF_PLASMA_MEMBRANE								
91227	GGTLC2	gamma-glutamyltransferase light chain 2		GO_INTRINSIC_COMPONENT_OF_PLASMA_MEMBRANE								
144448	TSPAN19	tetraspanin 19		GO_INTRINSIC_COMPONENT_OF_PLASMA_MEMBRANE								
117532	TMC2	transmembrane channel-like 2			GO_TRANSPORTER_ACTIVITY	GO_TRANSMEMBRANE_TRANSPORTER_ACTIVITY	GO_ION_TRANSPORT	GO_TRANSMEMBRANE_TRANSPORT	GO_ION_TRANSMEMBRANE_TRANSPORT	GO_SYSTEM_PROCESS		GO_NEUROLOGICAL_SYSTEM_PROCESS
125336	LOXHD1	lipoxygenase homology domains 1			GO_TRANSPORTER_ACTIVITY	GO_TRANSMEMBRANE_TRANSPORTER_ACTIVITY	GO_ION_TRANSPORT	GO_TRANSMEMBRANE_TRANSPORT	GO_ION_TRANSMEMBRANE_TRANSPORT	GO_SYSTEM_PROCESS		GO_NEUROLOGICAL_SYSTEM_PROCESS
246213	SLC17A8	solute carrier family 17 (sodium-dependent inorganic phosphate cotransporter), member 8			GO_TRANSPORTER_ACTIVITY	GO_TRANSMEMBRANE_TRANSPORTER_ACTIVITY	GO_ION_TRANSPORT	GO_TRANSMEMBRANE_TRANSPORT	GO_ION_TRANSMEMBRANE_TRANSPORT	GO_SYSTEM_PROCESS		GO_NEUROLOGICAL_SYSTEM_PROCESS
2565	GABRG1	gamma-aminobutyric acid (GABA) A receptor, gamma 1			GO_TRANSPORTER_ACTIVITY	GO_TRANSMEMBRANE_TRANSPORTER_ACTIVITY	GO_ION_TRANSPORT	GO_TRANSMEMBRANE_TRANSPORT	GO_ION_TRANSMEMBRANE_TRANSPORT			
89832	CHRFAM7A	CHRNA7 (cholinergic receptor, nicotinic, alpha 7, exons 5-10) and FAM7A (family with sequence similarity 7A, exons A-E) fusion			GO_TRANSPORTER_ACTIVITY	GO_TRANSMEMBRANE_TRANSPORTER_ACTIVITY	GO_ION_TRANSPORT	GO_TRANSMEMBRANE_TRANSPORT	GO_ION_TRANSMEMBRANE_TRANSPORT			
11141	IL1RAPL1	interleukin 1 receptor accessory protein-like 1			GO_TRANSPORTER_ACTIVITY	GO_TRANSMEMBRANE_TRANSPORTER_ACTIVITY	GO_ION_TRANSPORT	GO_TRANSMEMBRANE_TRANSPORT	GO_ION_TRANSMEMBRANE_TRANSPORT			
127124	ATP6V1G3	ATPase, H+ transporting, lysosomal 13kDa, V1 subunit G3			GO_TRANSPORTER_ACTIVITY	GO_TRANSMEMBRANE_TRANSPORTER_ACTIVITY	GO_ION_TRANSPORT	GO_TRANSMEMBRANE_TRANSPORT	GO_ION_TRANSMEMBRANE_TRANSPORT			
153201	SLC36A2	solute carrier family 36 (proton/amino acid symporter), member 2			GO_TRANSPORTER_ACTIVITY	GO_TRANSMEMBRANE_TRANSPORTER_ACTIVITY	GO_ION_TRANSPORT	GO_TRANSMEMBRANE_TRANSPORT	GO_ION_TRANSMEMBRANE_TRANSPORT			
6557	SLC12A1	solute carrier family 12 (sodium/potassium/chloride transporters), member 1			GO_TRANSPORTER_ACTIVITY	GO_TRANSMEMBRANE_TRANSPORTER_ACTIVITY	GO_ION_TRANSPORT	GO_TRANSMEMBRANE_TRANSPORT	GO_ION_TRANSMEMBRANE_TRANSPORT			
146167	SLC38A8	solute carrier family 38, member 8			GO_TRANSPORTER_ACTIVITY	GO_TRANSMEMBRANE_TRANSPORTER_ACTIVITY	GO_ION_TRANSPORT	GO_TRANSMEMBRANE_TRANSPORT	GO_ION_TRANSMEMBRANE_TRANSPORT			
64241	ABCG8	ATP-binding cassette, sub-family G (WHITE), member 8			GO_TRANSPORTER_ACTIVITY	GO_TRANSMEMBRANE_TRANSPORTER_ACTIVITY	GO_ION_TRANSPORT	GO_TRANSMEMBRANE_TRANSPORT		GO_SYSTEM_PROCESS		
6570	SLC18A1	solute carrier family 18 (vesicular monoamine), member 1			GO_TRANSPORTER_ACTIVITY	GO_TRANSMEMBRANE_TRANSPORTER_ACTIVITY	GO_ION_TRANSPORT	GO_TRANSMEMBRANE_TRANSPORT				
7350	UCP1	uncoupling protein 1 (mitochondrial, proton carrier)			GO_TRANSPORTER_ACTIVITY	GO_TRANSMEMBRANE_TRANSPORTER_ACTIVITY	GO_ION_TRANSPORT				BENPORATH_ES_WITH_H3K27ME3	
1447	CSN2	casein beta			GO_TRANSPORTER_ACTIVITY		GO_ION_TRANSPORT					
6017	RLBP1	retinaldehyde binding protein 1			GO_TRANSPORTER_ACTIVITY					GO_SYSTEM_PROCESS		GO_NEUROLOGICAL_SYSTEM_PROCESS
9362	CPNE6	copine VI (neuronal)			GO_TRANSPORTER_ACTIVITY							
132204	SYNPR	synaptoporin			GO_TRANSPORTER_ACTIVITY							
2638	GC	group-specific component (vitamin D binding protein)			GO_TRANSPORTER_ACTIVITY							
338	APOB	apolipoprotein B (including Ag(x) antigen)			GO_TRANSPORTER_ACTIVITY							
157807	CLVS1	clavesin 1			GO_TRANSPORTER_ACTIVITY							
392399	LCN9	lipocalin 9			GO_TRANSPORTER_ACTIVITY							
3047	HBG1	hemoglobin, gamma A			GO_TRANSPORTER_ACTIVITY							
3048	HBG2	hemoglobin, gamma G			GO_TRANSPORTER_ACTIVITY							
134829	CLVS2	clavesin 2			GO_TRANSPORTER_ACTIVITY							
3045	HBD	hemoglobin, delta			GO_TRANSPORTER_ACTIVITY							
3042	HBM	hemoglobin, mu			GO_TRANSPORTER_ACTIVITY							
345	APOC3	apolipoprotein C-III					GO_ION_TRANSPORT					
759	CA1	carbonic anhydrase I					GO_ION_TRANSPORT					
440699	LRRC52	leucine rich repeat containing 52					GO_ION_TRANSPORT					
342125	TMC3	transmembrane channel-like 3					GO_ION_TRANSPORT					
283600	SLC25A47	solute carrier family 25, member 47						GO_TRANSMEMBRANE_TRANSPORT				
5456	POU3F4	POU class 3 homeobox 4								GO_SYSTEM_PROCESS	BENPORATH_ES_WITH_H3K27ME3	GO_NEUROLOGICAL_SYSTEM_PROCESS
10716	TBR1	T-box, brain, 1								GO_SYSTEM_PROCESS	BENPORATH_ES_WITH_H3K27ME3	GO_NEUROLOGICAL_SYSTEM_PROCESS
284521	OR2L13	olfactory receptor, family 2, subfamily L, member 13								GO_SYSTEM_PROCESS		GO_NEUROLOGICAL_SYSTEM_PROCESS
138882	OR1N2	olfactory receptor, family 1, subfamily N, member 2								GO_SYSTEM_PROCESS		GO_NEUROLOGICAL_SYSTEM_PROCESS
219960	OR10Q1	olfactory receptor, family 10, subfamily Q, member 1								GO_SYSTEM_PROCESS		GO_NEUROLOGICAL_SYSTEM_PROCESS
390431	OR4K2	olfactory receptor, family 4, subfamily K, member 2								GO_SYSTEM_PROCESS		GO_NEUROLOGICAL_SYSTEM_PROCESS
4992	OR1F1	olfactory receptor, family 1, subfamily F, member 1								GO_SYSTEM_PROCESS		GO_NEUROLOGICAL_SYSTEM_PROCESS
26246	OR2L2	olfactory receptor, family 2, subfamily L, member 2								GO_SYSTEM_PROCESS		GO_NEUROLOGICAL_SYSTEM_PROCESS
390429	OR4N2	olfactory receptor, family 4, subfamily N, member 2								GO_SYSTEM_PROCESS		GO_NEUROLOGICAL_SYSTEM_PROCESS
392391	OR5C1	olfactory receptor, family 5, subfamily C, member 1								GO_SYSTEM_PROCESS		GO_NEUROLOGICAL_SYSTEM_PROCESS
219432	OR4C6	olfactory receptor, family 4, subfamily C, member 6								GO_SYSTEM_PROCESS		GO_NEUROLOGICAL_SYSTEM_PROCESS
162998	OR7D2	olfactory receptor, family 7, subfamily D, member 2								GO_SYSTEM_PROCESS		GO_NEUROLOGICAL_SYSTEM_PROCESS
7932	OR2H2	olfactory receptor, family 2, subfamily H, member 2								GO_SYSTEM_PROCESS		GO_NEUROLOGICAL_SYSTEM_PROCESS
401994	OR14I1	olfactory receptor, family 14, subfamily I, member 1								GO_SYSTEM_PROCESS		GO_NEUROLOGICAL_SYSTEM_PROCESS
5173	PDYN	prodynorphin								GO_SYSTEM_PROCESS		GO_NEUROLOGICAL_SYSTEM_PROCESS
594857	NPS	neuropeptide S								GO_SYSTEM_PROCESS		GO_NEUROLOGICAL_SYSTEM_PROCESS
6247	RS1	retinoschisin 1								GO_SYSTEM_PROCESS		GO_NEUROLOGICAL_SYSTEM_PROCESS
